timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections,decision
2026-03-03T13:00:09,2.083,367.701,307.90,251.89,2,AVOID
2026-03-03T13:00:10,3.317,221.976,320.40,257.32,2,AVOID
2026-03-03T13:00:10,3.293,225.745,321.50,255.13,2,AVOID
2026-03-03T13:00:10,3.319,224.741,314.40,258.25,2,AVOID
2026-03-03T13:00:10,3.278,228.229,323.50,255.63,2,AVOID
2026-03-03T13:00:11,3.386,221.579,317.20,258.71,1,AVOID
2026-03-03T13:00:11,3.327,226.797,321.30,255.63,1,AVOID
2026-03-03T13:00:11,3.315,222.411,320.80,258.71,1,AVOID
2026-03-03T13:00:12,3.317,223.831,320.60,255.63,2,AVOID
2026-03-03T13:00:12,3.263,228.606,315.80,258.71,2,AVOID
2026-03-03T13:00:12,3.303,224.912,322.20,255.63,2,AVOID
2026-03-03T13:00:13,3.345,223.346,316.90,258.71,1,AVOID
2026-03-03T13:00:13,3.293,227.445,321.10,255.63,2,AVOID
2026-03-03T13:00:13,3.307,222.769,319.40,258.71,2,AVOID
2026-03-03T13:00:14,3.306,228.227,323.00,255.63,2,AVOID
2026-03-03T13:00:14,3.190,230.819,311.60,258.71,1,AVOID
2026-03-03T13:00:14,3.321,224.929,318.20,255.63,2,AVOID
2026-03-03T13:00:15,3.326,220.951,318.20,258.71,2,AVOID
2026-03-03T13:00:15,3.266,232.714,322.10,255.63,2,AVOID
2026-03-03T13:00:15,3.341,220.296,316.70,258.71,2,AVOID
2026-03-03T13:00:15,3.272,227.817,325.60,255.63,2,AVOID
2026-03-03T13:00:16,3.343,221.588,313.50,258.71,1,AVOID
2026-03-03T13:00:16,3.292,226.766,322.10,255.63,1,AVOID
2026-03-03T13:00:16,3.348,218.440,320.40,258.71,2,AVOID
2026-03-03T13:00:17,3.253,231.133,321.10,255.63,2,AVOID
2026-03-03T13:00:17,3.316,227.319,317.20,258.71,2,AVOID
2026-03-03T13:00:17,3.335,226.006,319.30,255.64,2,AVOID
2026-03-03T13:00:18,3.309,222.099,320.10,258.72,2,AVOID
2026-03-03T13:00:18,3.249,232.985,317.20,255.64,1,AVOID
2026-03-03T13:00:18,3.323,221.741,321.00,258.72,2,AVOID
2026-03-03T13:00:19,3.263,229.057,321.60,255.64,2,AVOID
2026-03-03T13:00:19,3.274,227.162,320.00,258.72,2,AVOID
2026-03-03T13:00:19,3.304,224.557,316.30,255.64,2,AVOID
2026-03-03T13:00:20,3.343,222.394,320.20,258.72,2,AVOID
2026-03-03T13:00:20,3.232,231.585,319.10,255.64,2,AVOID
2026-03-03T13:00:20,3.371,221.531,319.00,258.72,2,AVOID
2026-03-03T13:00:20,3.321,226.433,317.70,255.64,2,AVOID
2026-03-03T13:00:21,3.290,223.486,320.90,258.72,2,AVOID
2026-03-03T13:00:21,3.348,225.935,320.00,255.64,2,AVOID
2026-03-03T13:00:21,3.337,221.620,319.40,258.72,2,AVOID
2026-03-03T13:00:22,3.289,226.066,324.40,255.64,2,AVOID
2026-03-03T13:00:22,3.289,227.324,314.60,258.72,2,AVOID
2026-03-03T13:00:22,3.294,226.461,318.70,255.64,2,AVOID
2026-03-03T13:00:23,3.348,223.753,320.30,258.72,1,AVOID
2026-03-03T13:00:23,3.282,228.231,318.60,255.64,2,AVOID
2026-03-03T13:00:23,3.280,224.046,317.20,258.72,2,AVOID
2026-03-03T13:00:24,3.327,226.519,321.80,255.64,2,AVOID
2026-03-03T13:00:24,3.273,225.637,316.70,258.72,2,AVOID
2026-03-03T13:00:24,3.345,226.712,320.00,255.64,2,AVOID
2026-03-03T13:00:25,3.329,222.638,318.70,258.72,2,AVOID
2026-03-03T13:00:25,3.246,229.641,317.30,255.64,2,AVOID
2026-03-03T13:00:25,3.294,226.516,318.80,258.72,2,AVOID
2026-03-03T13:00:25,3.285,226.693,324.20,255.64,2,AVOID
2026-03-03T13:00:26,3.374,221.326,315.90,258.72,1,AVOID
2026-03-03T13:00:26,3.310,227.476,323.50,255.64,2,AVOID
2026-03-03T13:00:26,3.311,222.806,320.10,258.72,1,AVOID
2026-03-03T13:00:27,3.360,225.941,321.50,255.64,2,AVOID
2026-03-03T13:00:27,3.268,227.664,316.20,258.72,1,AVOID
2026-03-03T13:00:27,3.268,227.625,325.70,255.64,2,AVOID
2026-03-03T13:00:28,3.302,225.419,315.90,258.72,2,AVOID
2026-03-03T13:00:28,3.243,230.213,323.00,255.64,2,AVOID
2026-03-03T13:00:28,3.347,222.392,317.00,258.72,2,AVOID
2026-03-03T13:00:29,3.267,228.968,322.60,255.64,2,AVOID
2026-03-03T13:00:29,3.269,229.538,319.30,258.72,2,AVOID
2026-03-03T13:00:29,3.304,225.877,319.60,255.64,2,AVOID
2026-03-03T13:00:30,3.330,220.055,321.60,258.72,2,AVOID
2026-03-03T13:00:30,3.255,230.139,314.90,255.64,2,AVOID
2026-03-03T13:00:30,3.297,222.295,321.50,258.72,1,AVOID
2026-03-03T13:00:30,3.342,226.160,319.80,255.64,2,AVOID
2026-03-03T13:00:31,3.314,222.665,320.60,258.72,1,AVOID
2026-03-03T13:00:31,3.287,225.177,318.30,255.64,2,AVOID
2026-03-03T13:00:31,3.311,224.547,317.00,258.72,2,AVOID
2026-03-03T13:00:32,3.254,228.448,324.30,255.64,2,AVOID
2026-03-03T13:00:32,3.267,228.297,316.00,258.72,2,AVOID
2026-03-03T13:00:32,3.319,224.195,324.10,255.64,2,AVOID
2026-03-03T13:00:33,3.328,225.449,318.30,258.72,2,AVOID
2026-03-03T13:00:33,3.292,228.080,321.10,255.64,2,AVOID
2026-03-03T13:00:33,3.327,220.455,315.00,258.73,2,AVOID
2026-03-03T13:00:34,3.320,227.596,320.70,255.64,2,AVOID
2026-03-03T13:00:34,3.266,226.106,319.30,258.73,2,AVOID
2026-03-03T13:00:34,3.365,225.353,318.30,255.64,2,AVOID
2026-03-03T13:00:35,3.299,225.688,319.20,258.73,2,AVOID
2026-03-03T13:00:35,3.219,231.240,317.90,255.64,2,AVOID
2026-03-03T13:00:35,3.286,226.239,321.00,258.73,2,AVOID
2026-03-03T13:00:36,3.292,225.369,321.50,255.64,2,AVOID
2026-03-03T13:00:36,3.320,224.840,317.70,258.73,1,AVOID
2026-03-03T13:00:36,3.245,230.096,319.40,255.64,1,AVOID
2026-03-03T13:00:36,3.371,221.765,322.80,258.73,2,AVOID
2026-03-03T13:00:37,3.293,228.040,318.20,255.64,2,AVOID
2026-03-03T13:00:37,3.337,220.049,322.10,258.73,2,AVOID
2026-03-03T13:00:37,3.298,225.345,318.50,255.64,2,AVOID
2026-03-03T13:00:38,3.336,220.961,319.10,258.73,2,AVOID
2026-03-03T13:00:38,3.248,230.899,319.80,255.64,2,AVOID
2026-03-03T13:00:38,3.328,222.546,318.60,258.73,2,AVOID
2026-03-03T13:00:39,3.283,227.010,320.70,255.64,2,AVOID
2026-03-03T13:00:39,3.316,225.468,317.50,258.73,2,AVOID
2026-03-03T13:00:39,3.327,224.304,321.80,255.64,2,AVOID
2026-03-03T13:00:40,3.315,220.995,317.30,258.73,2,AVOID
2026-03-03T13:00:40,3.275,230.943,319.60,255.64,2,AVOID
2026-03-03T13:00:40,3.296,223.152,321.60,258.73,2,AVOID
2026-03-03T13:00:41,3.320,223.141,317.40,255.86,2,AVOID
2026-03-03T13:00:41,3.315,222.908,320.70,258.95,2,AVOID
2026-03-03T13:00:41,3.284,226.548,320.70,255.86,2,AVOID
2026-03-03T13:00:41,3.310,225.075,317.20,258.95,2,AVOID
2026-03-03T13:00:42,3.298,225.658,322.20,255.86,2,AVOID
2026-03-03T13:00:42,3.291,228.038,321.30,258.95,1,AVOID
2026-03-03T13:00:42,3.267,229.287,319.50,255.86,2,AVOID
2026-03-03T13:00:43,3.298,225.931,315.50,258.95,2,AVOID
2026-03-03T13:00:43,3.276,229.535,319.80,255.86,2,AVOID
2026-03-03T13:00:43,3.289,223.200,317.90,258.95,2,AVOID
2026-03-03T13:00:44,3.315,227.231,320.70,255.86,2,AVOID
2026-03-03T13:00:44,3.259,225.782,321.30,258.95,2,AVOID
2026-03-03T13:00:44,3.264,232.189,315.60,255.86,2,AVOID
2026-03-03T13:00:45,3.326,221.108,321.10,258.95,2,AVOID
2026-03-03T13:00:45,3.244,233.164,319.90,255.86,2,AVOID
2026-03-03T13:00:45,3.307,221.963,316.60,258.95,2,AVOID
2026-03-03T13:00:46,3.335,227.958,322.60,255.86,2,AVOID
2026-03-03T13:00:46,3.267,228.118,319.40,258.95,2,AVOID
2026-03-03T13:00:46,3.319,223.518,320.80,255.86,2,AVOID
2026-03-03T13:00:46,3.372,221.259,319.30,258.95,2,AVOID
2026-03-03T13:00:47,3.331,224.979,321.90,255.86,2,AVOID
2026-03-03T13:00:47,3.260,226.145,314.90,258.95,2,AVOID
2026-03-03T13:00:47,3.294,229.077,315.40,255.86,2,AVOID
2026-03-03T13:00:48,3.277,224.776,320.30,258.95,2,AVOID
