timestamp,fps,latency_ms,cpu_percent,ram_mb,detections,decision
2026-03-09T00:47:40,1.98,385.77,237.10,249.52,1,FOLLOW
2026-03-09T00:47:41,3.31,222.58,298.10,255.51,1,FOLLOW
2026-03-09T00:47:41,3.38,219.34,319.60,257.08,1,FOLLOW
2026-03-09T00:47:41,3.32,223.71,327.70,254.92,1,FOLLOW
2026-03-09T00:47:42,3.32,222.86,328.40,256.91,1,FOLLOW
2026-03-09T00:47:42,3.32,228.33,328.40,254.93,1,FOLLOW
2026-03-09T00:47:42,3.26,228.58,322.00,256.91,1,FOLLOW
2026-03-09T00:47:43,3.33,223.25,325.70,254.93,1,FOLLOW
2026-03-09T00:47:43,3.37,219.79,325.60,256.91,1,FOLLOW
2026-03-09T00:47:43,3.35,222.13,327.20,254.93,1,FOLLOW
2026-03-09T00:47:44,3.30,225.45,326.10,256.91,1,FOLLOW
2026-03-09T00:47:44,3.31,230.23,324.10,254.93,1,FOLLOW
2026-03-09T00:47:44,3.36,223.41,328.90,256.91,1,FOLLOW
2026-03-09T00:47:44,3.35,225.55,328.00,254.93,1,FOLLOW
2026-03-09T00:47:45,3.36,223.54,325.10,256.91,1,FOLLOW
2026-03-09T00:47:45,3.33,226.38,328.50,254.93,1,FOLLOW
2026-03-09T00:47:45,3.33,224.19,324.50,256.91,1,FOLLOW
2026-03-09T00:47:46,3.27,229.24,325.60,254.93,1,FOLLOW
2026-03-09T00:47:46,3.28,231.27,326.70,256.91,1,FOLLOW
2026-03-09T00:47:46,3.32,227.65,324.40,254.93,1,FOLLOW
2026-03-09T00:47:47,3.30,226.87,325.10,256.91,1,FOLLOW
2026-03-09T00:47:47,3.25,230.81,323.10,254.93,1,FOLLOW
2026-03-09T00:47:47,3.31,223.56,326.30,256.91,1,FOLLOW
2026-03-09T00:47:48,3.33,227.67,324.70,254.93,1,FOLLOW
2026-03-09T00:47:48,3.33,225.28,325.00,256.91,0,IDLE
2026-03-09T00:47:48,3.34,224.13,330.40,254.93,0,IDLE
2026-03-09T00:47:48,3.35,221.87,323.70,256.91,0,IDLE
2026-03-09T00:47:49,3.33,224.91,328.40,254.93,0,IDLE
2026-03-09T00:47:49,3.32,222.80,324.70,256.91,0,IDLE
2026-03-09T00:47:49,3.34,223.94,329.20,254.93,0,IDLE
2026-03-09T00:47:50,3.38,224.07,327.10,256.91,0,IDLE
2026-03-09T00:47:50,3.30,230.27,325.70,254.93,1,FOLLOW
2026-03-09T00:47:50,3.27,227.25,324.90,256.91,1,FOLLOW
2026-03-09T00:47:51,3.32,224.51,324.70,254.93,1,FOLLOW
2026-03-09T00:47:51,3.28,226.48,326.20,256.91,1,FOLLOW
2026-03-09T00:47:51,3.36,226.27,327.70,254.93,2,FOLLOW
2026-03-09T00:47:51,3.30,228.31,325.00,256.91,2,FOLLOW
2026-03-09T00:47:52,3.30,228.02,322.50,254.93,1,FOLLOW
2026-03-09T00:47:52,3.24,229.59,326.70,256.91,1,FOLLOW
2026-03-09T00:47:52,3.31,224.55,326.60,254.93,1,FOLLOW
2026-03-09T00:47:53,3.34,225.90,325.60,256.91,1,FOLLOW
2026-03-09T00:47:53,3.29,229.13,321.10,254.93,1,FOLLOW
2026-03-09T00:47:53,3.27,227.70,322.40,256.91,1,FOLLOW
2026-03-09T00:47:54,3.30,225.39,325.60,254.93,1,FOLLOW
2026-03-09T00:47:54,3.28,228.83,319.60,256.92,2,FOLLOW
2026-03-09T00:47:54,3.31,227.11,322.80,254.94,3,AVOID
2026-03-09T00:47:55,3.31,224.90,325.90,256.92,3,AVOID
2026-03-09T00:47:55,3.31,225.39,326.30,254.94,1,FOLLOW
2026-03-09T00:47:55,3.38,223.96,326.90,256.92,1,FOLLOW
2026-03-09T00:47:55,3.31,224.78,327.10,254.94,2,FOLLOW
2026-03-09T00:47:56,3.32,226.95,327.20,256.92,1,FOLLOW
2026-03-09T00:47:56,3.30,226.42,322.50,254.94,2,FOLLOW
2026-03-09T00:47:56,3.31,223.75,323.90,256.92,1,FOLLOW
2026-03-09T00:47:57,3.32,224.64,327.80,254.94,1,FOLLOW
2026-03-09T00:47:57,3.31,223.10,326.40,256.92,2,FOLLOW
2026-03-09T00:47:57,3.33,224.75,328.60,254.94,2,FOLLOW
2026-03-09T00:47:58,3.27,229.92,322.80,256.92,1,FOLLOW
2026-03-09T00:47:58,3.28,227.61,323.70,254.94,1,FOLLOW
2026-03-09T00:47:58,3.30,224.70,324.80,256.92,3,AVOID
2026-03-09T00:47:59,3.27,228.11,326.20,254.94,1,FOLLOW
2026-03-09T00:47:59,3.32,225.80,326.70,256.92,1,FOLLOW
2026-03-09T00:47:59,3.36,221.92,329.10,254.94,1,FOLLOW
2026-03-09T00:47:59,3.36,220.62,321.70,256.92,1,FOLLOW
2026-03-09T00:48:00,3.30,227.24,332.30,254.94,1,FOLLOW
2026-03-09T00:48:00,3.35,221.74,323.50,256.92,2,FOLLOW
2026-03-09T00:48:00,3.31,224.60,325.50,254.94,1,FOLLOW
2026-03-09T00:48:01,3.34,225.54,326.70,256.92,1,FOLLOW
2026-03-09T00:48:01,3.27,231.52,329.00,254.94,1,FOLLOW
2026-03-09T00:48:01,3.24,228.14,319.40,257.14,1,FOLLOW
2026-03-09T00:48:02,3.31,224.99,327.00,255.16,2,FOLLOW
2026-03-09T00:48:02,3.30,228.86,325.20,257.14,2,FOLLOW
2026-03-09T00:48:02,3.35,224.46,329.60,255.16,2,FOLLOW
2026-03-09T00:48:03,3.34,222.76,325.40,257.14,2,FOLLOW
2026-03-09T00:48:03,3.31,225.26,323.80,255.16,3,AVOID
2026-03-09T00:48:03,3.28,226.30,325.80,257.14,2,FOLLOW
2026-03-09T00:48:03,3.32,229.12,326.90,255.16,2,FOLLOW
2026-03-09T00:48:04,3.28,228.88,322.70,257.14,2,FOLLOW
2026-03-09T00:48:04,3.23,231.54,327.80,255.16,2,FOLLOW
2026-03-09T00:48:04,3.29,225.04,324.40,257.14,1,FOLLOW
2026-03-09T00:48:05,3.32,227.42,327.60,255.16,2,FOLLOW
2026-03-09T00:48:05,3.34,223.45,322.80,257.14,3,AVOID
2026-03-09T00:48:05,3.27,229.73,325.80,255.16,2,FOLLOW
