time,fps
1773071990.2119524,2.518962315595775
1773071991.3521137,2.1918738274533984
1773071991.694541,3.1495767828286168
1773071992.1527462,2.5157200111801674
1773071992.5279393,2.781138168255284
1773071992.918954,2.638005022789982
1773071993.2446153,3.1889130578577745
1773071993.576778,3.1421279069506114
1773071993.9131694,3.0845142720147316
1773071994.225885,3.4663812660382893
1773071994.7269423,2.1173964272408496
1773071995.0436015,3.4501114994558697
1773071995.3552587,3.3367440861412643
1773071995.6840115,3.1513042328400105
1773071996.0014334,3.2742573345386474
1773071996.3371477,3.0872841670751834
1773071996.6809325,3.1060911705723266
1773071997.028268,3.247868595526412
1773071997.394737,2.9303706643229126
1773071997.7449052,3.1289964736065077
1773071998.0720382,3.263442830477444
1773071998.388526,3.281075651708633
1773071998.7332036,3.0869342502693695
1773071999.0570693,3.2524195580783113
1773071999.3786213,3.269851565423475
1773071999.7117634,3.1608105979708676
1773072000.0244837,3.372757588355582
1773072000.3452652,3.287399294443883
1773072000.6752303,3.1853384803376183
1773072000.996927,3.2690869978644135
1773072001.326729,3.1959743090939985
1773072001.667395,3.0830518678161978
1773072001.993041,3.2434106081379426
1773072002.3245273,3.189567812186551
1773072002.6678681,3.057826199165684
1773072002.9926498,3.242252282128167
1773072003.3298023,3.129393349066212
1773072003.6584733,3.204809463665031
1773072003.9831886,3.2465487601079626
1773072004.313247,3.1818756988770933
1773072004.6507518,3.109022107740489
1773072004.966827,3.3245567380805365
1773072005.290657,3.260467097632796
1773072005.6350558,3.052307549001486
1773072005.961068,3.226040272586029
1773072006.2723746,3.4034702493830946
1773072006.61786,3.034085048050666
1773072006.9604497,3.1016970836251287
1773072007.2938492,3.1828632613864105
1773072007.6430836,3.012247049554839
1773072007.9621592,3.3094315118050717
1773072008.2881637,3.249252431727262
1773072008.583033,3.6269823082849872
1773072008.9168265,3.159698607392586
1773072009.264331,3.0407653415574494
1773072009.600032,3.138922815336351
1773072009.924204,3.317512093725184
1773072010.2479932,3.2735545775321184
1773072010.5799623,3.1619877314118527
1773072010.9159076,3.1212333410477924
1773072011.2384214,3.2565028284644613
1773072011.5702817,3.1655100637659896
1773072011.9026186,3.1767160710945093
1773072012.226777,3.244815749754181
1773072012.5496917,3.2744925060621344
1773072012.8830776,3.1537139922568924
1773072013.2118006,3.21535161622186
1773072013.5256543,3.3498208606674558
1773072013.866074,3.103581365062452
1773072014.1866083,3.2951162123836797
1773072014.5191865,3.1550923139879163
1773072014.8517475,3.1872119539901473
1773072015.1759298,3.282367202497361
1773072015.497178,3.307049165334166
1773072015.827228,3.2051719197160335
1773072016.1603868,3.1570895761120332
1773072016.4900808,3.2004566081128822
1773072016.8337307,3.0719940000117187
1773072017.1663287,3.1638553089928747
1773072017.4920888,3.2278874184621165
1773072017.8162394,3.252538098620602
1773072018.1374176,3.2775553740901224
1773072018.4571989,3.289144570716972
1773072018.800815,3.054723954976312
1773072019.1300588,3.2124530593831833
1773072019.464081,3.1601485478610267
1773072019.7856727,3.2808831616222376
1773072020.1140945,3.207166894404381
1773072020.429795,3.339669274084643
1773072020.758487,3.199885258020686
1773072021.0821686,3.27813430310306
1773072021.4115949,3.190606270144282
1773072021.7382026,3.220978925389135
1773072022.0619655,3.243029422521261
1773072022.3847172,3.2579775437996887
1773072022.7140114,3.1900044644656673
1773072023.0378196,3.2437693053701606
1773072023.3590436,3.2756458466587164
1773072023.697412,3.1104769645606343
1773072024.0226605,3.2356266508677085
1773072024.3535974,3.1892210014066835
1773072024.6914454,3.117716100268116
1773072025.0123463,3.2832999077861955
1773072025.3332567,3.3115845739032257
1773072025.6640759,3.183073408768375
1773072025.9978461,3.1566998996763
1773072026.3193672,3.275691894851195
1773072026.6560867,3.131662139500434
1773072026.979151,3.2075053550139065
1773072027.3041992,3.2821154885998967
1773072027.6378055,3.1583757155529315
1773072027.956754,3.292821635269106
1773072028.280115,3.2701370956675775
1773072028.6069753,3.248442115470107
1773072028.9362502,3.231530797862136
1773072029.25242,3.3246647833021026
1773072029.5810156,3.2236698906152967
1773072029.905462,3.2632371705100676
1773072030.2284384,3.2549385106437465
1773072030.5438247,3.33631145558907
1773072030.879071,3.1301079786594945
1773072031.199308,3.2884147837792703
1773072031.5302002,3.185423150591091
1773072031.8556728,3.24242271974248
1773072032.1742432,3.308170763064119
1773072032.491037,3.328709666923008
1773072032.822275,3.1856433143175704
1773072033.142411,3.2990583341985458
1773072033.468263,3.2278526408139077
