timestamp,fps,latency_ms,cpu_percent,ram_mb,detections,decision
2026-03-06T02:30:29,2.18,370.92,317.90,249.64,1,FOLLOW
2026-03-06T02:30:29,3.25,232.75,326.80,255.61,1,FOLLOW
2026-03-06T02:30:30,3.25,233.15,321.10,257.41,1,FOLLOW
2026-03-06T02:30:30,3.22,234.36,328.40,255.24,1,FOLLOW
2026-03-06T02:30:30,3.31,222.09,320.90,257.22,1,FOLLOW
2026-03-06T02:30:31,3.09,247.57,318.10,255.24,2,FOLLOW
2026-03-06T02:30:31,3.27,227.01,326.40,257.22,2,FOLLOW
2026-03-06T02:30:31,3.29,230.73,328.00,255.24,1,FOLLOW
2026-03-06T02:30:32,3.19,235.22,327.10,257.22,1,FOLLOW
2026-03-06T02:30:32,3.32,224.72,326.70,255.24,1,FOLLOW
2026-03-06T02:30:32,3.17,238.01,318.70,257.23,1,FOLLOW
2026-03-06T02:30:32,3.23,237.93,327.80,255.25,1,FOLLOW
2026-03-06T02:30:33,3.21,235.23,320.00,257.23,1,FOLLOW
2026-03-06T02:30:33,3.30,226.47,325.80,255.25,1,FOLLOW
2026-03-06T02:30:33,3.17,238.47,316.70,257.23,2,FOLLOW
2026-03-06T02:30:34,3.34,225.41,329.60,255.25,2,FOLLOW
2026-03-06T02:30:34,3.17,235.54,319.50,257.23,2,FOLLOW
2026-03-06T02:30:34,3.25,229.02,326.30,255.25,2,FOLLOW
2026-03-06T02:30:35,3.20,232.47,315.30,257.23,1,FOLLOW
2026-03-06T02:30:35,3.31,224.92,329.50,255.25,1,FOLLOW
2026-03-06T02:30:35,3.32,226.93,323.30,257.23,4,AVOID
2026-03-06T02:30:36,3.01,257.45,317.60,255.25,2,FOLLOW
2026-03-06T02:30:36,3.32,224.02,323.70,257.23,2,FOLLOW
2026-03-06T02:30:36,3.19,239.52,320.40,255.25,3,AVOID
2026-03-06T02:30:37,3.16,238.20,320.90,257.23,2,FOLLOW
2026-03-06T02:30:37,3.18,240.55,323.30,255.25,2,FOLLOW
2026-03-06T02:30:37,3.34,222.76,321.80,257.23,3,AVOID
2026-03-06T02:30:38,3.11,247.27,325.30,255.25,2,FOLLOW
2026-03-06T02:30:38,3.32,225.14,320.80,257.23,2,FOLLOW
2026-03-06T02:30:38,3.14,238.09,322.70,255.25,2,FOLLOW
2026-03-06T02:30:38,3.33,224.59,322.00,257.23,2,FOLLOW
2026-03-06T02:30:39,3.27,227.99,325.80,255.25,1,FOLLOW
2026-03-06T02:30:39,3.28,226.20,322.20,257.23,2,FOLLOW
2026-03-06T02:30:39,3.30,226.10,324.90,255.25,1,FOLLOW
2026-03-06T02:30:40,3.09,244.77,317.70,257.23,1,FOLLOW
2026-03-06T02:30:40,3.28,227.34,323.70,255.25,2,FOLLOW
2026-03-06T02:30:40,3.21,233.33,322.70,257.23,3,AVOID
2026-03-06T02:30:41,3.23,231.17,324.80,255.25,2,FOLLOW
2026-03-06T02:30:41,3.13,241.82,321.50,257.23,0,IDLE
2026-03-06T02:30:41,3.30,225.69,325.60,255.25,0,IDLE
2026-03-06T02:30:42,3.08,246.04,322.30,257.23,0,IDLE
2026-03-06T02:30:42,3.30,226.23,325.40,255.25,0,IDLE
2026-03-06T02:30:42,3.25,228.12,324.10,257.23,2,FOLLOW
2026-03-06T02:30:43,3.14,244.63,321.70,255.25,2,FOLLOW
2026-03-06T02:30:43,3.29,226.89,324.40,257.23,2,FOLLOW
2026-03-06T02:30:43,3.13,244.09,321.20,255.25,2,FOLLOW
2026-03-06T02:30:43,3.16,238.63,321.50,257.23,2,FOLLOW
2026-03-06T02:30:44,3.19,240.53,324.20,255.26,2,FOLLOW
2026-03-06T02:30:44,3.32,224.10,324.40,257.24,3,AVOID
2026-03-06T02:30:44,3.13,239.56,324.30,255.26,1,FOLLOW
2026-03-06T02:30:45,3.30,227.31,324.70,257.24,1,FOLLOW
2026-03-06T02:30:45,3.14,239.78,319.40,255.26,3,AVOID
2026-03-06T02:30:45,3.32,226.07,326.30,257.24,3,AVOID
2026-03-06T02:30:46,3.04,254.97,314.80,255.26,2,FOLLOW
2026-03-06T02:30:46,3.30,226.29,325.10,257.24,2,FOLLOW
2026-03-06T02:30:46,3.24,227.14,320.40,255.26,2,FOLLOW
2026-03-06T02:30:47,3.19,237.23,324.30,257.24,3,AVOID
2026-03-06T02:30:47,3.30,226.06,326.00,255.26,3,AVOID
2026-03-06T02:30:47,3.22,235.16,318.00,257.24,3,AVOID
2026-03-06T02:30:48,3.24,233.57,323.70,255.26,3,AVOID
2026-03-06T02:30:48,3.16,236.43,321.60,257.24,1,FOLLOW
2026-03-06T02:30:48,3.31,229.00,330.40,255.26,1,FOLLOW
2026-03-06T02:30:49,3.07,250.45,318.20,257.24,1,FOLLOW
2026-03-06T02:30:49,3.27,231.03,326.60,255.26,2,FOLLOW
2026-03-06T02:30:49,3.12,241.74,317.20,257.24,2,FOLLOW
2026-03-06T02:30:49,3.15,240.67,319.20,255.26,0,IDLE
