timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections
2026-03-02T12:37:00,1.861,416.596,287.20,256.33,2
2026-03-02T12:37:01,3.330,223.771,325.00,261.60,2
2026-03-02T12:37:01,3.338,226.268,328.30,263.70,2
2026-03-02T12:37:01,3.374,225.317,325.90,258.79,2
2026-03-02T12:37:02,3.382,222.353,326.50,261.87,2
2026-03-02T12:37:02,3.327,229.505,327.80,259.85,2
2026-03-02T12:37:02,3.354,221.029,327.10,256.90,2
2026-03-02T12:37:02,3.340,223.543,326.20,261.83,2
2026-03-02T12:37:03,3.319,221.269,324.40,263.81,2
2026-03-02T12:37:03,3.353,226.420,330.00,258.80,2
2026-03-02T12:37:03,3.272,230.387,322.40,261.88,2
2026-03-02T12:37:04,3.200,236.526,322.10,259.87,1
2026-03-02T12:37:04,3.293,225.074,327.90,256.91,2
2026-03-02T12:37:04,3.208,229.724,323.10,261.83,2
2026-03-02T12:37:05,3.320,225.733,324.40,264.03,3
2026-03-02T12:37:05,3.289,230.150,328.10,259.02,3
2026-03-02T12:37:05,3.354,220.868,324.50,262.10,3
2026-03-02T12:37:06,3.346,224.321,329.90,260.09,4
2026-03-02T12:37:06,3.372,221.164,328.80,257.13,3
2026-03-02T12:37:06,3.287,224.707,320.90,262.05,3
2026-03-02T12:37:06,3.330,222.632,328.10,264.03,3
2026-03-02T12:37:07,3.319,225.473,327.20,259.02,3
2026-03-02T12:37:07,3.293,223.409,321.70,262.11,2
2026-03-02T12:37:07,3.333,229.697,331.20,260.09,2
2026-03-02T12:37:08,3.322,222.887,327.70,257.13,1
2026-03-02T12:37:08,3.301,225.880,322.50,262.05,2
2026-03-02T12:37:08,3.359,224.361,327.70,264.04,2
2026-03-02T12:37:09,3.398,223.233,328.40,259.03,2
2026-03-02T12:37:09,3.309,222.488,326.30,262.11,2
2026-03-02T12:37:09,3.282,226.166,327.10,260.09,2
2026-03-02T12:37:09,3.315,227.404,330.10,257.13,2
2026-03-02T12:37:10,3.318,222.847,320.50,262.05,3
2026-03-02T12:37:10,3.302,225.955,329.00,264.04,3
2026-03-02T12:37:10,3.298,226.904,325.70,259.03,3
2026-03-02T12:37:11,3.316,222.229,327.50,262.11,3
2026-03-02T12:37:11,3.253,235.008,327.80,260.09,4
2026-03-02T12:37:11,3.321,222.035,327.60,257.13,2
2026-03-02T12:37:12,3.342,223.069,323.30,262.05,2
2026-03-02T12:37:12,3.307,225.860,326.20,264.04,4
2026-03-02T12:37:12,3.320,227.361,327.40,259.03,4
2026-03-02T12:37:12,3.332,224.152,325.40,262.11,3
2026-03-02T12:37:13,3.301,228.646,329.40,260.09,1
2026-03-02T12:37:13,3.349,223.354,327.20,257.13,2
2026-03-02T12:37:13,3.330,221.424,328.70,262.05,1
2026-03-02T12:37:14,3.357,221.879,324.40,264.04,2
2026-03-02T12:37:14,3.294,227.857,328.10,259.03,2
2026-03-02T12:37:14,3.331,220.704,325.20,262.11,2
2026-03-02T12:37:15,3.305,225.137,325.60,260.09,2
2026-03-02T12:37:15,3.258,227.093,330.00,257.13,2
2026-03-02T12:37:15,3.314,224.639,323.40,262.05,3
2026-03-02T12:37:15,3.332,221.354,328.70,264.04,1
2026-03-02T12:37:16,3.318,227.721,327.40,259.03,1
2026-03-02T12:37:16,3.306,223.390,322.80,262.11,1
2026-03-02T12:37:16,3.296,228.544,328.60,260.09,1
2026-03-02T12:37:17,3.313,224.236,326.70,257.13,1
2026-03-02T12:37:17,3.206,230.040,321.60,262.05,1
2026-03-02T12:37:17,3.303,223.103,325.90,264.04,3
2026-03-02T12:37:18,3.323,228.604,330.30,259.03,1
2026-03-02T12:37:18,3.238,231.078,318.80,262.11,2
2026-03-02T12:37:18,3.253,230.443,330.60,260.09,2
2026-03-02T12:37:19,3.304,224.306,329.10,257.13,1
2026-03-02T12:37:19,3.183,235.794,320.20,262.05,2
2026-03-02T12:37:19,3.329,223.940,324.60,264.04,2
2026-03-02T12:37:19,3.322,226.235,327.30,259.03,2
2026-03-02T12:37:20,3.224,227.802,321.10,262.11,1
2026-03-02T12:37:20,3.290,226.312,331.10,260.09,2
2026-03-02T12:37:20,3.324,228.537,324.10,257.13,2
2026-03-02T12:37:21,3.347,222.623,326.80,262.05,2
2026-03-02T12:37:21,3.275,230.378,322.60,264.04,2
2026-03-02T12:37:21,3.290,228.989,331.00,259.03,2
2026-03-02T12:37:22,3.319,221.247,320.50,262.11,2
2026-03-02T12:37:22,3.228,232.867,328.00,260.09,2
2026-03-02T12:37:22,3.312,222.911,326.60,257.13,1
2026-03-02T12:37:23,3.240,226.049,326.10,262.05,1
2026-03-02T12:37:23,3.258,230.212,321.10,264.04,1
2026-03-02T12:37:23,3.296,227.740,331.30,259.03,2
2026-03-02T12:37:23,3.319,222.267,326.20,262.11,1
2026-03-02T12:37:24,3.290,226.454,330.90,260.09,2
2026-03-02T12:37:24,3.260,231.593,324.80,257.14,1
2026-03-02T12:37:24,3.229,230.569,321.80,262.06,1
2026-03-02T12:37:25,3.313,224.647,326.40,264.04,1
2026-03-02T12:37:25,3.282,228.076,329.90,259.03,2
2026-03-02T12:37:25,3.318,221.585,323.50,262.11,4
2026-03-02T12:37:26,3.313,224.814,330.00,260.09,2
2026-03-02T12:37:26,3.278,226.636,326.20,257.14,3
2026-03-02T12:37:26,3.259,228.055,324.80,262.06,2
2026-03-02T12:37:26,3.331,224.028,328.20,264.04,1
2026-03-02T12:37:27,3.304,227.569,329.10,259.03,3
2026-03-02T12:37:27,3.324,222.118,327.50,262.11,2
2026-03-02T12:37:27,3.183,235.119,326.30,260.09,1
2026-03-02T12:37:28,3.272,226.648,326.20,257.14,1
2026-03-02T12:37:28,3.198,230.984,325.30,262.06,1
2026-03-02T12:37:28,3.306,223.528,325.90,264.04,1
2026-03-02T12:37:29,3.258,230.048,330.70,259.03,1
2026-03-02T12:37:29,3.256,229.817,324.60,262.11,1
2026-03-02T12:37:29,3.355,223.472,327.50,260.09,1
2026-03-02T12:37:30,3.295,227.090,324.90,257.14,1
2026-03-02T12:37:30,3.188,230.520,324.50,262.06,1
2026-03-02T12:37:30,3.283,225.940,327.40,264.04,1
2026-03-02T12:37:30,3.297,230.174,325.30,259.03,1
2026-03-02T12:37:31,3.276,226.854,326.40,262.11,1
2026-03-02T12:37:31,3.306,227.489,325.70,260.09,1
2026-03-02T12:37:31,3.289,226.132,327.70,257.14,1
2026-03-02T12:37:32,3.298,222.219,328.40,262.06,1
2026-03-02T12:37:32,3.292,224.725,324.70,264.04,1
2026-03-02T12:37:32,3.307,224.903,329.40,259.03,1
2026-03-02T12:37:33,3.292,227.401,318.20,262.11,1
2026-03-02T12:37:33,3.252,232.519,324.00,260.09,1
2026-03-02T12:37:33,3.338,221.968,325.90,257.14,1
2026-03-02T12:37:34,3.312,221.307,327.00,262.06,1
2026-03-02T12:37:34,3.293,224.584,324.40,264.04,1
2026-03-02T12:37:34,3.327,224.404,328.20,259.03,1
2026-03-02T12:37:34,3.289,224.126,327.70,262.11,1
2026-03-02T12:37:35,3.354,226.761,327.70,260.09,1
2026-03-02T12:37:35,3.248,234.188,320.00,257.14,1
2026-03-02T12:37:35,3.300,224.513,325.30,262.06,1
2026-03-02T12:37:36,3.355,222.269,327.60,264.04,1
2026-03-02T12:37:36,3.213,234.818,326.50,259.03,1
2026-03-02T12:37:36,3.287,223.043,327.60,262.11,3
2026-03-02T12:37:37,3.262,228.662,331.60,260.09,3
2026-03-02T12:37:37,3.312,228.067,323.50,257.14,2
2026-03-02T12:37:37,3.260,227.793,324.00,262.06,3
2026-03-02T12:37:37,3.247,229.587,323.20,264.04,2
2026-03-02T12:37:38,3.249,234.844,329.80,259.03,3
2026-03-02T12:37:38,3.317,225.794,327.10,262.11,3
2026-03-02T12:37:38,3.305,229.337,329.30,260.09,1
2026-03-02T12:37:39,3.327,225.623,325.30,257.14,2
2026-03-02T12:37:39,3.246,227.394,320.20,262.06,1
2026-03-02T12:37:39,3.321,223.175,327.90,264.04,1
2026-03-02T12:37:40,3.256,228.674,327.70,259.03,3
2026-03-02T12:37:40,3.296,228.538,328.30,262.11,3
2026-03-02T12:37:40,3.287,231.139,327.50,260.09,4
2026-03-02T12:37:41,3.306,225.647,326.10,257.14,4
2026-03-02T12:37:41,3.240,228.346,323.20,262.06,4
2026-03-02T12:37:41,3.319,222.885,327.30,264.04,4
2026-03-02T12:37:41,3.277,226.640,329.80,259.03,3
2026-03-02T12:37:42,3.275,223.665,326.20,262.11,5
2026-03-02T12:37:42,3.287,230.992,324.10,260.09,5
2026-03-02T12:37:42,3.291,228.255,328.30,257.14,4
2026-03-02T12:37:43,3.246,227.282,323.30,262.06,4
2026-03-02T12:37:43,3.270,226.762,325.70,264.04,4
2026-03-02T12:37:43,3.290,226.243,327.70,259.03,4
2026-03-02T12:37:44,3.294,222.814,328.30,262.11,3
2026-03-02T12:37:44,3.258,232.443,321.40,260.09,3
2026-03-02T12:37:44,3.333,224.651,332.40,257.14,4
2026-03-02T12:37:45,3.271,224.119,322.60,262.06,1
2026-03-02T12:37:45,3.302,224.542,329.30,264.04,3
2026-03-02T12:37:45,3.234,230.862,325.40,259.03,1
2026-03-02T12:37:45,3.321,225.825,328.00,262.11,2
2026-03-02T12:37:46,3.293,230.325,331.80,260.09,4
2026-03-02T12:37:46,3.311,226.296,323.60,257.14,4
2026-03-02T12:37:46,3.296,223.772,328.00,262.06,1
2026-03-02T12:37:47,3.265,226.934,325.00,264.04,4
2026-03-02T12:37:47,3.247,229.227,326.60,259.03,4
2026-03-02T12:37:47,3.346,224.752,327.00,262.11,5
2026-03-02T12:37:48,3.324,228.426,328.20,260.09,3
2026-03-02T12:37:48,3.291,229.427,327.90,257.14,3
2026-03-02T12:37:48,3.290,224.362,327.70,262.06,4
2026-03-02T12:37:48,3.323,224.433,324.40,264.04,4
2026-03-02T12:37:49,3.289,227.340,328.10,259.03,4
