timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections,decision
2026-03-03T19:31:16,2.088,366.600,308.40,251.87,0,IDLE
2026-03-03T19:31:17,3.301,223.437,316.10,257.28,0,IDLE
2026-03-03T19:31:17,3.346,222.810,323.80,255.09,0,IDLE
2026-03-03T19:31:17,3.385,222.131,320.90,258.22,0,IDLE
2026-03-03T19:31:17,3.355,225.733,318.70,255.59,0,IDLE
2026-03-03T19:31:18,3.301,225.267,316.90,258.68,0,IDLE
2026-03-03T19:31:18,3.320,229.477,321.70,255.59,0,IDLE
2026-03-03T19:31:18,3.360,222.978,318.80,258.68,0,IDLE
2026-03-03T19:31:19,3.333,226.130,322.60,255.59,0,IDLE
2026-03-03T19:31:19,3.216,229.609,318.20,258.68,0,IDLE
2026-03-03T19:31:19,3.344,225.487,324.10,255.59,0,IDLE
2026-03-03T19:31:20,3.346,220.724,317.80,258.68,0,IDLE
2026-03-03T19:31:20,3.329,224.398,318.60,255.59,0,IDLE
2026-03-03T19:31:20,3.318,224.910,318.40,258.68,0,IDLE
2026-03-03T19:31:21,3.362,222.679,322.60,255.59,0,IDLE
2026-03-03T19:31:21,3.274,223.771,314.30,258.68,0,IDLE
2026-03-03T19:31:21,3.345,225.469,320.20,255.81,0,IDLE
2026-03-03T19:31:21,3.347,220.559,320.70,258.89,0,IDLE
2026-03-03T19:31:22,3.314,224.533,324.00,255.81,0,IDLE
2026-03-03T19:31:22,3.368,222.209,319.40,258.89,0,IDLE
2026-03-03T19:31:22,3.357,224.890,322.20,255.81,0,IDLE
2026-03-03T19:31:23,3.353,219.919,318.00,258.89,0,IDLE
2026-03-03T19:31:23,3.256,230.538,324.80,255.82,0,IDLE
2026-03-03T19:31:23,3.335,223.090,316.60,258.90,0,IDLE
2026-03-03T19:31:24,3.352,222.821,324.40,255.82,0,IDLE
2026-03-03T19:31:24,3.334,226.735,319.70,258.90,0,IDLE
2026-03-03T19:31:24,3.351,226.330,321.60,255.82,0,IDLE
2026-03-03T19:31:25,3.343,221.961,317.40,258.90,0,IDLE
2026-03-03T19:31:25,3.277,228.034,323.80,255.82,0,IDLE
2026-03-03T19:31:25,3.288,228.054,315.60,258.90,0,IDLE
2026-03-03T19:31:26,3.326,225.282,325.50,255.82,0,IDLE
2026-03-03T19:31:26,3.335,220.366,319.10,258.90,0,IDLE
2026-03-03T19:31:26,3.301,229.724,319.60,255.82,0,IDLE
2026-03-03T19:31:26,3.356,219.503,318.40,258.91,0,IDLE
2026-03-03T19:31:27,3.318,225.306,319.90,255.82,0,IDLE
2026-03-03T19:31:27,3.340,222.925,317.00,258.91,0,IDLE
2026-03-03T19:31:27,3.357,222.763,322.10,255.82,0,IDLE
2026-03-03T19:31:28,3.324,220.775,318.90,258.91,0,IDLE
2026-03-03T19:31:28,3.328,228.477,322.00,255.82,0,IDLE
2026-03-03T19:31:28,3.305,223.665,319.90,258.91,0,IDLE
2026-03-03T19:31:29,3.301,226.111,316.30,255.82,0,IDLE
2026-03-03T19:31:29,3.292,227.335,322.40,258.91,0,IDLE
2026-03-03T19:31:29,3.342,223.144,317.50,255.82,0,IDLE
2026-03-03T19:31:30,3.294,222.836,318.60,258.91,0,IDLE
2026-03-03T19:31:30,3.171,238.861,310.60,255.82,0,IDLE
2026-03-03T19:31:30,3.342,224.215,320.20,258.91,0,IDLE
2026-03-03T19:31:31,3.327,226.599,322.30,255.82,0,IDLE
2026-03-03T19:31:31,3.306,221.582,320.20,258.91,0,IDLE
2026-03-03T19:31:31,3.418,222.683,320.80,255.82,0,IDLE
2026-03-03T19:31:31,3.349,223.800,320.80,258.91,0,IDLE
2026-03-03T19:31:32,3.332,226.127,322.50,255.82,0,IDLE
2026-03-03T19:31:32,3.225,228.039,315.40,258.91,0,IDLE
2026-03-03T19:31:32,3.318,227.506,321.00,255.82,0,IDLE
2026-03-03T19:31:33,3.341,220.437,323.00,258.91,0,IDLE
2026-03-03T19:31:33,3.335,229.317,322.30,255.82,0,IDLE
2026-03-03T19:31:33,3.340,222.669,317.10,258.91,0,IDLE
2026-03-03T19:31:34,3.315,225.043,324.10,255.82,0,IDLE
2026-03-03T19:31:34,3.225,229.478,318.40,258.91,0,IDLE
2026-03-03T19:31:34,3.327,224.488,318.60,255.82,0,IDLE
2026-03-03T19:31:35,3.303,222.188,319.70,258.91,0,IDLE
2026-03-03T19:31:35,3.287,230.454,318.40,255.82,0,IDLE
2026-03-03T19:31:35,3.355,218.694,318.50,258.91,0,IDLE
2026-03-03T19:31:35,3.334,222.928,322.80,255.82,0,IDLE
2026-03-03T19:31:36,3.368,221.751,319.30,258.91,0,IDLE
2026-03-03T19:31:36,3.304,228.020,317.00,255.82,0,IDLE
2026-03-03T19:31:36,3.320,221.942,321.30,258.91,0,IDLE
2026-03-03T19:31:37,3.379,225.003,320.50,255.82,0,IDLE
2026-03-03T19:31:37,3.310,225.155,321.00,258.91,0,IDLE
2026-03-03T19:31:37,3.332,223.547,322.60,255.82,0,IDLE
2026-03-03T19:31:38,3.296,223.728,322.00,258.91,0,IDLE
2026-03-03T19:31:38,3.312,227.773,320.60,255.82,0,IDLE
2026-03-03T19:31:38,3.306,222.554,317.10,258.91,0,IDLE
2026-03-03T19:31:39,3.368,225.575,322.50,255.82,0,IDLE
2026-03-03T19:31:39,3.294,225.771,316.30,258.91,0,IDLE
2026-03-03T19:31:39,3.320,225.101,328.10,255.82,0,IDLE
