timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections,decision
2026-03-02T14:02:52,2.106,363.993,309.10,251.86,1,AVOID
2026-03-02T14:02:53,3.328,222.128,318.20,257.27,1,AVOID
2026-03-02T14:02:53,3.179,235.422,323.60,255.09,1,AVOID
2026-03-02T14:02:53,3.353,221.421,320.60,258.21,1,AVOID
2026-03-02T14:02:54,3.339,222.745,319.30,255.59,1,AVOID
2026-03-02T14:02:54,3.257,226.738,314.80,258.67,2,AVOID
2026-03-02T14:02:54,3.331,223.713,321.20,255.59,1,AVOID
2026-03-02T14:02:54,3.349,219.004,316.70,258.68,1,AVOID
2026-03-02T14:02:55,3.347,226.199,320.20,255.81,2,AVOID
2026-03-02T14:02:55,3.270,223.907,315.40,258.89,1,AVOID
2026-03-02T14:02:55,3.334,222.772,319.30,255.81,1,AVOID
2026-03-02T14:02:56,3.343,222.440,316.80,258.89,1,AVOID
2026-03-02T14:02:56,3.194,234.491,316.60,255.82,1,AVOID
2026-03-02T14:02:56,3.335,222.348,319.20,258.90,1,AVOID
2026-03-02T14:02:57,3.333,222.802,325.30,255.82,1,AVOID
2026-03-02T14:02:57,3.247,230.710,314.00,258.90,1,AVOID
2026-03-02T14:02:57,3.302,225.433,319.30,255.82,1,AVOID
2026-03-02T14:02:58,3.357,223.791,321.30,258.90,2,AVOID
2026-03-02T14:02:58,3.188,237.173,314.50,255.82,2,AVOID
2026-03-02T14:02:58,3.334,219.782,318.60,258.90,2,AVOID
2026-03-02T14:02:59,3.311,227.288,323.20,255.82,2,AVOID
2026-03-02T14:02:59,3.170,234.274,315.90,258.91,2,AVOID
2026-03-02T14:02:59,3.205,233.331,310.00,255.82,2,AVOID
2026-03-02T14:02:59,3.323,224.990,324.00,258.91,2,AVOID
2026-03-02T14:03:00,3.272,228.261,316.10,255.82,2,AVOID
2026-03-02T14:03:00,3.322,224.551,320.30,258.91,2,AVOID
2026-03-02T14:03:00,3.326,224.993,318.00,255.82,3,AVOID
2026-03-02T14:03:01,3.262,225.498,320.90,258.91,1,AVOID
2026-03-02T14:03:01,3.253,224.106,314.10,255.83,1,AVOID
2026-03-02T14:03:01,3.300,221.098,315.90,258.91,1,AVOID
2026-03-02T14:03:02,3.346,225.308,319.90,255.83,1,AVOID
2026-03-02T14:03:02,3.166,234.120,315.70,258.91,1,AVOID
2026-03-02T14:03:02,3.282,229.845,323.60,255.83,2,AVOID
2026-03-02T14:03:03,3.212,229.905,310.40,258.91,2,FOLLOW
2026-03-02T14:03:03,3.224,232.550,321.30,255.83,2,AVOID
2026-03-02T14:03:03,3.321,225.451,320.80,258.91,1,AVOID
2026-03-02T14:03:04,3.341,224.265,319.50,255.83,1,AVOID
2026-03-02T14:03:04,3.226,234.653,318.10,258.91,1,AVOID
2026-03-02T14:03:04,3.344,225.025,319.90,255.83,1,AVOID
2026-03-02T14:03:05,3.281,224.970,317.50,258.91,2,FOLLOW
2026-03-02T14:03:05,3.127,243.912,320.50,255.83,2,AVOID
2026-03-02T14:03:05,3.328,226.073,321.10,258.91,1,AVOID
2026-03-02T14:03:06,3.287,229.137,318.00,255.83,1,AVOID
