timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections
2026-03-02T08:57:27,1.912,389.945,263.30,244.70,2
2026-03-02T08:57:27,3.265,224.545,325.80,249.97,2
2026-03-02T08:57:27,3.290,225.807,327.90,247.79,2
2026-03-02T08:57:28,3.313,225.592,323.60,250.91,2
2026-03-02T08:57:28,3.144,241.643,323.00,248.29,2
2026-03-02T08:57:28,3.333,220.649,328.70,251.37,2
2026-03-02T08:57:29,3.258,228.503,321.70,248.29,2
2026-03-02T08:57:29,3.133,240.047,321.60,251.37,2
2026-03-02T08:57:29,3.349,221.802,326.80,248.29,2
2026-03-02T08:57:30,3.291,223.752,331.00,251.37,2
2026-03-02T08:57:30,3.019,254.076,318.90,248.29,2
2026-03-02T08:57:30,3.287,222.604,320.90,251.37,2
2026-03-02T08:57:31,3.334,222.293,332.10,248.29,2
2026-03-02T08:57:31,3.302,226.693,318.90,251.37,2
2026-03-02T08:57:31,3.325,227.489,328.00,248.29,2
2026-03-02T08:57:31,3.320,224.790,327.90,251.37,2
2026-03-02T08:57:32,3.335,225.435,326.00,248.29,2
2026-03-02T08:57:32,3.100,241.993,321.20,251.37,2
2026-03-02T08:57:32,3.297,224.994,328.70,248.29,1
2026-03-02T08:57:33,3.311,225.998,323.60,251.37,2
2026-03-02T08:57:33,3.150,241.205,326.40,248.29,2
2026-03-02T08:57:33,3.321,221.016,323.90,251.37,2
2026-03-02T08:57:34,3.275,227.202,329.80,248.29,2
2026-03-02T08:57:34,3.149,238.286,317.30,251.38,2
2026-03-02T08:57:34,3.326,223.767,328.00,248.29,1
2026-03-02T08:57:35,3.321,220.372,324.30,251.38,2
2026-03-02T08:57:35,3.290,224.946,331.00,248.29,2
2026-03-02T08:57:35,3.304,221.698,325.20,251.38,2
2026-03-02T08:57:35,3.320,228.714,327.70,248.30,2
2026-03-02T08:57:36,3.325,224.984,325.00,251.38,2
2026-03-02T08:57:36,2.989,256.336,322.10,248.30,2
2026-03-02T08:57:36,3.343,223.038,326.70,251.38,2
2026-03-02T08:57:37,3.331,226.575,325.60,248.30,2
2026-03-02T08:57:37,3.080,242.303,322.40,251.38,2
2026-03-02T08:57:37,3.309,229.519,326.50,248.30,2
2026-03-02T08:57:38,3.337,220.245,326.20,251.38,2
2026-03-02T08:57:38,3.083,247.592,313.80,248.30,2
2026-03-02T08:57:38,3.337,220.045,325.60,251.38,2
2026-03-02T08:57:39,3.305,224.622,329.40,248.52,2
2026-03-02T08:57:39,3.296,224.918,318.70,251.60,2
2026-03-02T08:57:39,3.267,232.135,321.60,248.52,1
2026-03-02T08:57:39,3.334,223.049,329.30,251.60,2
2026-03-02T08:57:40,3.256,231.403,324.80,248.52,2
2026-03-02T08:57:40,3.158,239.594,321.00,251.60,2
2026-03-02T08:57:40,3.338,225.929,325.80,248.52,2
2026-03-02T08:57:41,3.352,222.304,327.20,251.60,2
2026-03-02T08:57:41,3.148,241.132,323.50,248.52,2
2026-03-02T08:57:41,3.302,221.969,326.10,251.60,2
2026-03-02T08:57:42,3.326,222.454,328.00,248.52,2
2026-03-02T08:57:42,3.022,249.802,316.60,251.60,2
2026-03-02T08:57:42,3.326,222.523,331.40,248.52,1
