timestamp,fps,latency_ms,cpu_percent,ram_mb,detections,decision
2026-03-06T00:32:06,2.08,392.85,312.20,249.62,1,FOLLOW
2026-03-06T00:32:07,3.12,244.81,309.20,255.61,1,FOLLOW
2026-03-06T00:32:07,3.40,221.61,322.90,257.39,1,FOLLOW
2026-03-06T00:32:07,3.18,240.34,327.20,255.23,1,FOLLOW
2026-03-06T00:32:07,3.33,222.42,322.20,257.21,1,FOLLOW
2026-03-06T00:32:08,3.26,227.90,328.90,255.23,1,FOLLOW
2026-03-06T00:32:08,3.31,223.82,323.60,257.21,1,FOLLOW
2026-03-06T00:32:08,3.33,228.05,329.20,255.23,1,FOLLOW
2026-03-06T00:32:09,3.11,243.43,316.10,257.21,1,FOLLOW
2026-03-06T00:32:09,3.35,226.83,327.30,255.23,1,FOLLOW
2026-03-06T00:32:09,3.18,236.15,323.10,257.21,2,FOLLOW
2026-03-06T00:32:10,3.19,239.67,330.40,255.24,5,AVOID
2026-03-06T00:32:10,3.12,240.91,317.20,257.22,1,FOLLOW
2026-03-06T00:32:10,3.30,226.29,329.80,255.24,2,FOLLOW
2026-03-06T00:32:11,3.06,247.53,320.00,257.22,2,FOLLOW
2026-03-06T00:32:11,3.31,228.31,323.50,255.24,2,FOLLOW
2026-03-06T00:32:11,3.29,226.33,328.80,257.22,2,FOLLOW
2026-03-06T00:32:12,3.13,240.54,322.70,255.24,2,FOLLOW
2026-03-06T00:32:12,3.28,228.89,323.60,257.22,2,FOLLOW
2026-03-06T00:32:12,3.27,228.30,323.80,255.24,1,FOLLOW
2026-03-06T00:32:13,3.26,227.41,325.10,257.22,2,FOLLOW
2026-03-06T00:32:13,3.15,241.37,323.80,255.24,1,FOLLOW
2026-03-06T00:32:13,3.28,224.91,323.60,257.22,1,FOLLOW
2026-03-06T00:32:13,3.22,236.27,324.30,255.24,1,FOLLOW
2026-03-06T00:32:14,3.25,228.69,323.00,257.22,1,FOLLOW
2026-03-06T00:32:14,3.19,240.31,321.40,255.24,1,FOLLOW
2026-03-06T00:32:14,3.30,225.14,325.60,257.22,2,FOLLOW
2026-03-06T00:32:15,3.16,242.75,327.80,255.24,2,FOLLOW
2026-03-06T00:32:15,3.29,226.59,321.50,257.22,2,FOLLOW
2026-03-06T00:32:15,3.29,226.34,325.00,255.24,2,FOLLOW
2026-03-06T00:32:16,3.21,231.91,324.00,257.22,1,FOLLOW
2026-03-06T00:32:16,3.34,226.19,326.60,255.24,2,FOLLOW
2026-03-06T00:32:16,3.16,237.77,322.90,257.22,1,FOLLOW
2026-03-06T00:32:17,3.24,236.36,326.20,255.24,1,FOLLOW
2026-03-06T00:32:17,3.16,237.98,324.50,257.22,1,FOLLOW
2026-03-06T00:32:17,3.29,226.80,325.20,255.24,2,FOLLOW
2026-03-06T00:32:18,3.05,248.66,313.30,257.22,2,FOLLOW
2026-03-06T00:32:18,3.29,231.25,324.90,255.24,1,FOLLOW
2026-03-06T00:32:18,3.21,233.93,322.50,257.22,1,FOLLOW
2026-03-06T00:32:18,3.22,229.82,327.50,255.24,1,FOLLOW
2026-03-06T00:32:19,3.30,225.58,322.50,257.22,2,FOLLOW
2026-03-06T00:32:19,3.23,232.61,325.20,255.24,2,FOLLOW
2026-03-06T00:32:19,3.26,227.99,321.10,257.22,2,FOLLOW
2026-03-06T00:32:20,3.06,253.82,320.00,255.24,3,AVOID
2026-03-06T00:32:20,3.24,230.58,321.90,257.23,1,FOLLOW
2026-03-06T00:32:20,3.17,238.33,324.80,255.25,2,FOLLOW
2026-03-06T00:32:21,3.21,234.74,322.50,257.23,2,FOLLOW
2026-03-06T00:32:21,3.24,236.50,325.40,255.25,2,FOLLOW
2026-03-06T00:32:21,3.31,226.98,329.80,257.23,2,FOLLOW
2026-03-06T00:32:22,3.09,247.00,317.60,255.25,1,FOLLOW
2026-03-06T00:32:22,3.30,228.23,327.80,257.23,4,AVOID
2026-03-06T00:32:22,3.25,231.64,322.70,255.25,2,FOLLOW
2026-03-06T00:32:23,3.14,235.93,322.10,257.23,2,FOLLOW
2026-03-06T00:32:23,3.26,229.73,324.70,255.25,2,FOLLOW
2026-03-06T00:32:23,3.30,222.58,325.30,257.23,3,AVOID
2026-03-06T00:32:24,3.29,230.36,320.30,255.25,2,FOLLOW
2026-03-06T00:32:24,3.15,237.71,322.90,257.23,2,FOLLOW
2026-03-06T00:32:24,3.34,226.74,326.00,255.25,3,AVOID
2026-03-06T00:32:24,3.15,238.91,320.00,257.23,3,AVOID
2026-03-06T00:32:25,3.24,230.24,325.40,255.25,2,FOLLOW
2026-03-06T00:32:25,3.15,239.90,322.30,257.23,2,FOLLOW
2026-03-06T00:32:25,3.24,228.75,323.60,255.25,2,FOLLOW
2026-03-06T00:32:26,3.02,250.39,319.70,257.23,1,FOLLOW
2026-03-06T00:32:26,3.31,227.88,326.70,255.25,2,FOLLOW
2026-03-06T00:32:26,3.28,224.53,322.80,257.23,3,AVOID
2026-03-06T00:32:27,3.19,239.65,327.10,255.25,3,AVOID
2026-03-06T00:32:27,3.27,227.32,325.10,257.23,2,FOLLOW
2026-03-06T00:32:27,3.22,230.40,325.10,255.25,3,AVOID
2026-03-06T00:32:28,3.20,235.38,324.80,257.23,3,AVOID
2026-03-06T00:32:28,3.18,236.36,323.00,255.25,3,AVOID
2026-03-06T00:32:28,3.29,227.90,325.20,257.23,4,AVOID
2026-03-06T00:32:29,3.09,249.92,326.50,255.25,3,AVOID
2026-03-06T00:32:29,3.31,226.69,326.50,257.23,3,AVOID
2026-03-06T00:32:29,3.15,239.68,320.90,255.25,2,FOLLOW
2026-03-06T00:32:30,3.32,225.53,321.50,257.23,3,AVOID
2026-03-06T00:32:30,3.19,237.28,328.00,255.25,2,FOLLOW
2026-03-06T00:32:30,3.35,220.47,324.10,257.23,2,FOLLOW
2026-03-06T00:32:30,3.28,226.87,327.60,255.25,2,FOLLOW
2026-03-06T00:32:31,3.22,234.33,321.50,257.23,3,AVOID
2026-03-06T00:32:31,3.24,231.27,329.30,255.25,3,AVOID
2026-03-06T00:32:31,3.22,236.26,321.00,257.23,3,AVOID
2026-03-06T00:32:32,3.18,238.04,326.80,255.25,3,AVOID
2026-03-06T00:32:32,3.21,236.66,323.30,257.23,3,AVOID
2026-03-06T00:32:32,3.33,225.93,325.80,255.25,3,AVOID
2026-03-06T00:32:33,3.09,248.03,320.50,257.23,3,AVOID
2026-03-06T00:32:33,3.32,227.51,324.90,255.25,3,AVOID
2026-03-06T00:32:33,3.19,235.17,325.30,257.23,4,AVOID
2026-03-06T00:32:34,3.16,242.51,324.70,255.25,3,AVOID
2026-03-06T00:32:34,3.33,222.76,325.20,257.23,1,FOLLOW
2026-03-06T00:32:34,3.30,225.58,328.60,255.25,1,FOLLOW
2026-03-06T00:32:34,3.31,228.94,326.00,257.23,3,AVOID
2026-03-06T00:32:35,3.19,238.42,321.00,255.25,2,FOLLOW
2026-03-06T00:32:35,3.33,222.40,325.40,257.23,1,FOLLOW
2026-03-06T00:32:35,3.18,240.63,326.80,255.25,2,FOLLOW
2026-03-06T00:32:36,3.18,228.56,317.50,257.23,1,FOLLOW
2026-03-06T00:32:36,3.22,236.85,323.60,255.25,2,FOLLOW
2026-03-06T00:32:36,3.29,227.84,325.00,257.23,2,FOLLOW
2026-03-06T00:32:37,3.09,248.96,327.30,255.25,2,FOLLOW
2026-03-06T00:32:37,3.32,224.72,324.70,257.23,1,FOLLOW
2026-03-06T00:32:37,3.29,226.59,329.10,255.25,2,FOLLOW
2026-03-06T00:32:38,3.10,245.57,312.80,257.23,2,FOLLOW
2026-03-06T00:32:38,3.31,226.07,326.20,255.25,2,FOLLOW
2026-03-06T00:32:38,3.20,226.32,323.10,257.23,1,FOLLOW
2026-03-06T00:32:39,3.18,239.60,323.70,255.25,1,FOLLOW
2026-03-06T00:32:39,3.18,238.07,323.90,257.23,1,FOLLOW
2026-03-06T00:32:39,3.29,228.15,324.90,255.25,1,FOLLOW
2026-03-06T00:32:40,3.08,248.60,323.10,257.23,1,FOLLOW
2026-03-06T00:32:40,3.29,228.98,327.70,255.25,1,FOLLOW
2026-03-06T00:32:40,3.18,239.75,323.40,257.23,2,FOLLOW
2026-03-06T00:32:40,3.33,227.02,328.80,255.25,2,FOLLOW
2026-03-06T00:32:41,3.20,234.51,321.40,257.23,2,FOLLOW
2026-03-06T00:32:41,3.30,231.58,325.60,255.25,2,FOLLOW
2026-03-06T00:32:41,3.35,222.67,326.90,257.23,1,FOLLOW
2026-03-06T00:32:42,3.25,232.95,320.90,255.25,1,FOLLOW
2026-03-06T00:32:42,3.28,225.16,326.80,257.23,2,FOLLOW
2026-03-06T00:32:42,3.19,240.11,323.90,255.25,2,FOLLOW
2026-03-06T00:32:43,3.25,230.76,323.50,257.23,4,AVOID
2026-03-06T00:32:43,3.19,240.23,323.50,255.25,4,AVOID
2026-03-06T00:32:43,3.32,226.16,326.40,257.23,3,AVOID
2026-03-06T00:32:44,3.08,251.29,318.70,255.25,2,FOLLOW
2026-03-06T00:32:44,3.27,228.60,319.00,257.23,7,AVOID
2026-03-06T00:32:44,3.17,238.63,325.40,255.25,4,AVOID
2026-03-06T00:32:45,3.19,235.56,324.40,257.23,3,AVOID
2026-03-06T00:32:45,3.27,225.75,322.40,255.25,1,FOLLOW
2026-03-06T00:32:45,3.33,226.26,325.30,257.23,2,FOLLOW
2026-03-06T00:32:45,3.26,230.49,328.00,255.25,4,AVOID
2026-03-06T00:32:46,3.12,240.73,317.20,257.23,2,FOLLOW
2026-03-06T00:32:46,3.33,226.25,328.10,255.25,2,FOLLOW
2026-03-06T00:32:46,3.14,237.09,322.10,257.23,2,FOLLOW
2026-03-06T00:32:47,3.20,235.74,317.80,255.25,2,FOLLOW
2026-03-06T00:32:47,3.20,238.01,325.30,257.23,3,AVOID
2026-03-06T00:32:47,3.28,230.69,326.90,255.25,3,AVOID
2026-03-06T00:32:48,3.03,251.98,314.40,257.23,3,AVOID
2026-03-06T00:32:48,3.18,236.43,321.10,255.25,2,FOLLOW
2026-03-06T00:32:48,3.20,235.85,321.50,257.23,2,FOLLOW
2026-03-06T00:32:49,3.15,238.80,323.50,255.25,2,FOLLOW
2026-03-06T00:32:49,3.31,226.53,326.80,257.23,2,FOLLOW
2026-03-06T00:32:49,3.35,224.97,326.80,255.25,3,AVOID
2026-03-06T00:32:50,3.16,236.74,320.90,257.23,2,FOLLOW
2026-03-06T00:32:50,3.20,237.70,325.70,255.25,1,FOLLOW
2026-03-06T00:32:50,3.30,224.68,325.30,257.23,4,AVOID
2026-03-06T00:32:51,3.06,250.99,322.80,255.25,3,AVOID
2026-03-06T00:32:51,3.31,223.23,322.70,257.23,3,AVOID
2026-03-06T00:32:51,3.21,238.17,326.50,255.25,2,FOLLOW
2026-03-06T00:32:51,3.27,228.06,326.10,257.23,3,AVOID
2026-03-06T00:32:52,3.20,239.22,325.90,255.25,2,FOLLOW
2026-03-06T00:32:52,3.29,226.95,325.20,257.23,2,FOLLOW
2026-03-06T00:32:52,3.30,225.09,321.80,255.25,3,AVOID
2026-03-06T00:32:53,3.21,237.26,329.10,257.23,2,FOLLOW
2026-03-06T00:32:53,3.32,227.75,324.70,255.25,2,FOLLOW
2026-03-06T00:32:53,3.20,233.49,319.50,257.23,2,FOLLOW
2026-03-06T00:32:54,3.21,238.39,327.10,255.25,3,AVOID
2026-03-06T00:32:54,3.20,234.31,325.40,257.23,2,FOLLOW
2026-03-06T00:32:54,3.33,223.87,328.60,255.25,1,FOLLOW
2026-03-06T00:32:55,3.11,244.86,315.90,257.23,2,FOLLOW
2026-03-06T00:32:55,3.26,229.13,324.40,255.25,2,FOLLOW
2026-03-06T00:32:55,3.23,234.60,328.10,257.23,4,AVOID
2026-03-06T00:32:56,3.20,235.59,325.90,255.25,2,FOLLOW
2026-03-06T00:32:56,3.22,234.53,318.40,257.23,3,AVOID
2026-03-06T00:32:56,3.32,227.36,330.90,255.25,2,FOLLOW
2026-03-06T00:32:56,3.29,225.52,324.30,257.23,2,FOLLOW
2026-03-06T00:32:57,3.19,231.87,324.20,255.25,2,FOLLOW
2026-03-06T00:32:57,3.33,224.89,326.00,257.23,4,AVOID
2026-03-06T00:32:57,3.12,241.61,320.90,255.25,2,FOLLOW
2026-03-06T00:32:58,3.21,235.16,322.70,257.23,2,FOLLOW
2026-03-06T00:32:58,3.24,235.94,323.50,255.25,2,FOLLOW
2026-03-06T00:32:58,3.37,223.97,326.50,257.23,1,FOLLOW
2026-03-06T00:32:59,3.11,246.19,323.00,255.25,1,FOLLOW
2026-03-06T00:32:59,3.23,236.33,321.50,257.23,1,FOLLOW
2026-03-06T00:32:59,3.22,236.12,324.50,255.25,1,FOLLOW
2026-03-06T00:33:00,3.14,239.15,323.00,257.23,1,FOLLOW
2026-03-06T00:33:00,3.30,227.92,329.30,255.25,2,FOLLOW
2026-03-06T00:33:00,3.30,224.61,322.40,257.23,2,FOLLOW
2026-03-06T00:33:01,3.25,233.30,324.50,255.25,2,FOLLOW
2026-03-06T00:33:01,3.19,237.37,322.10,257.23,2,FOLLOW
2026-03-06T00:33:01,3.31,226.15,327.00,255.25,1,FOLLOW
2026-03-06T00:33:01,3.21,236.07,321.00,257.23,1,FOLLOW
2026-03-06T00:33:02,3.34,226.87,327.20,255.25,2,FOLLOW
2026-03-06T00:33:02,3.22,234.35,324.90,257.23,2,FOLLOW
2026-03-06T00:33:02,3.30,225.77,326.40,255.25,1,FOLLOW
2026-03-06T00:33:03,2.98,256.51,310.50,257.24,2,FOLLOW
2026-03-06T00:33:03,3.35,226.16,328.30,255.26,1,FOLLOW
2026-03-06T00:33:03,3.27,224.80,326.80,257.24,1,FOLLOW
2026-03-06T00:33:04,3.24,233.84,327.10,255.26,1,FOLLOW
2026-03-06T00:33:04,3.33,222.69,325.20,257.24,2,FOLLOW
2026-03-06T00:33:04,3.18,240.26,323.10,255.26,2,FOLLOW
2026-03-06T00:33:05,3.21,232.96,319.90,257.24,1,FOLLOW
2026-03-06T00:33:05,3.21,238.48,326.90,255.26,1,FOLLOW
2026-03-06T00:33:05,3.31,225.86,326.50,257.24,1,FOLLOW
2026-03-06T00:33:06,3.04,252.54,316.20,255.26,1,FOLLOW
2026-03-06T00:33:06,3.35,220.93,324.60,257.24,1,FOLLOW
