timestamp,fps,object_count,obstacle_detected,person_candidate_count,target_locked,lock_status,lost_frames,person_center_x,frame_center_x,distance_ratio,steering_percent,movement_command
2026-03-20 02:23:26,2.10,1,False,1,True,LOCKED (NEW),0,506,320,0.2674,58,STEER RIGHT
2026-03-20 02:23:27,1.99,1,False,1,True,LOCKED,0,516,320,0.2456,61,STEER RIGHT
2026-03-20 02:23:27,2.74,1,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:28,2.86,1,False,1,True,LOCKED,0,521,320,0.2303,62,STEER RIGHT
2026-03-20 02:23:28,2.75,1,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:28,2.73,1,False,1,True,LOCKED,0,525,320,0.2387,64,STEER RIGHT
2026-03-20 02:23:29,2.76,1,False,1,True,LOCKED,0,521,320,0.2575,62,STEER RIGHT
2026-03-20 02:23:29,2.71,1,False,1,True,LOCKED,0,484,320,0.3508,51,MOVE BACKWARD
2026-03-20 02:23:30,2.65,1,False,1,True,LOCKED,0,454,320,0.4456,41,MOVE BACKWARD
2026-03-20 02:23:30,2.81,1,False,1,True,LOCKED,0,440,320,0.4988,37,MOVE BACKWARD
2026-03-20 02:23:30,2.80,1,False,1,True,LOCKED,0,450,320,0.4835,40,MOVE BACKWARD
2026-03-20 02:23:31,2.83,1,False,1,True,LOCKED,0,471,320,0.4249,47,MOVE BACKWARD
2026-03-20 02:23:31,2.75,1,False,1,True,LOCKED,0,483,320,0.4026,50,MOVE BACKWARD
2026-03-20 02:23:31,2.74,1,False,1,True,LOCKED,0,494,320,0.3731,54,MOVE BACKWARD
2026-03-20 02:23:32,2.77,1,False,1,True,LOCKED,0,496,320,0.3600,55,MOVE BACKWARD
2026-03-20 02:23:32,2.72,1,False,1,True,LOCKED,0,487,320,0.4188,52,MOVE BACKWARD
2026-03-20 02:23:33,2.82,1,False,1,True,LOCKED,0,460,320,0.4585,43,MOVE BACKWARD
2026-03-20 02:23:33,2.83,1,False,1,True,LOCKED,0,345,320,0.8149,7,MOVE BACKWARD
2026-03-20 02:23:33,2.75,1,False,1,True,LOCKED,0,330,320,0.9069,3,MOVE BACKWARD
2026-03-20 02:23:34,2.69,1,False,1,True,LOCKED,0,345,320,0.9006,7,MOVE BACKWARD
2026-03-20 02:23:34,2.83,1,False,1,True,LOCKED,0,439,320,0.6115,37,MOVE BACKWARD
2026-03-20 02:23:34,2.74,1,False,1,True,LOCKED,0,449,320,0.5046,40,MOVE BACKWARD
2026-03-20 02:23:35,2.76,1,False,1,True,LOCKED,0,394,320,0.4736,23,MOVE BACKWARD
2026-03-20 02:23:35,2.67,1,False,1,True,LOCKED,0,400,320,0.5422,25,MOVE BACKWARD
2026-03-20 02:23:36,2.76,1,False,1,True,LOCKED,0,319,320,0.4040,0,MOVE BACKWARD
2026-03-20 02:23:36,2.72,1,False,1,True,LOCKED,0,381,320,0.6690,19,MOVE BACKWARD
2026-03-20 02:23:36,2.77,1,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:37,2.73,1,False,1,True,LOCKED,0,397,320,0.5676,24,MOVE BACKWARD
2026-03-20 02:23:37,2.80,1,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:38,2.74,1,False,1,True,LOCKED,0,416,320,0.5434,30,MOVE BACKWARD
2026-03-20 02:23:38,2.79,1,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:38,2.72,1,False,0,False,LOST (2),2,-1,320,0.0000,0,IDLE
2026-03-20 02:23:39,2.83,1,False,0,False,LOST (3),3,-1,320,0.0000,0,IDLE
2026-03-20 02:23:39,2.77,1,False,0,False,LOST (4),4,-1,320,0.0000,0,IDLE
2026-03-20 02:23:39,2.64,0,False,0,False,LOST (5),5,-1,320,0.0000,0,IDLE
2026-03-20 02:23:40,2.84,0,False,0,False,LOST (6),6,-1,320,0.0000,0,IDLE
2026-03-20 02:23:40,2.74,1,False,0,False,LOST (7),7,-1,320,0.0000,0,IDLE
2026-03-20 02:23:41,2.77,1,False,1,True,SEARCHING (8),8,319,320,0.2077,0,HOLD POSITION
2026-03-20 02:23:41,2.77,0,False,0,False,LOST (9),9,-1,320,0.0000,0,IDLE
2026-03-20 02:23:41,2.78,0,False,0,False,LOST (10),10,-1,320,0.0000,0,IDLE
2026-03-20 02:23:42,2.86,1,False,1,True,SEARCHING (11),11,320,320,0.2887,0,HOLD POSITION
2026-03-20 02:23:42,2.91,0,False,0,False,LOST (12),12,-1,320,0.0000,0,IDLE
2026-03-20 02:23:42,2.87,2,True,0,False,LOST (13),13,-1,320,0.0000,0,AVOID
2026-03-20 02:23:43,2.95,2,True,1,True,SEARCHING (14),14,-1,320,0.0000,0,AVOID
2026-03-20 02:23:43,2.92,1,False,1,True,SEARCHING (15),15,230,320,0.1555,28,STEER LEFT
2026-03-20 02:23:43,2.82,1,False,1,True,RE-LOCKED,0,195,320,0.1702,39,STEER LEFT
2026-03-20 02:23:44,2.79,1,False,1,True,LOCKED,0,201,320,0.1830,37,STEER LEFT
2026-03-20 02:23:44,2.64,0,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:45,2.63,0,False,0,False,LOST (2),2,-1,320,0.0000,0,IDLE
2026-03-20 02:23:45,2.80,0,False,0,False,LOST (3),3,-1,320,0.0000,0,IDLE
2026-03-20 02:23:45,2.74,1,False,0,False,LOST (4),4,-1,320,0.0000,0,IDLE
2026-03-20 02:23:46,2.73,0,False,0,False,LOST (5),5,-1,320,0.0000,0,IDLE
2026-03-20 02:23:46,2.79,1,False,0,False,LOST (6),6,-1,320,0.0000,0,IDLE
2026-03-20 02:23:47,2.74,1,False,1,True,LOCKED,0,187,320,0.2725,41,STEER LEFT
2026-03-20 02:23:47,2.78,1,False,1,True,LOCKED,0,184,320,0.2703,42,STEER LEFT
2026-03-20 02:23:47,2.62,1,False,1,True,LOCKED,0,187,320,0.2761,41,STEER LEFT
2026-03-20 02:23:48,2.75,1,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:48,2.70,1,False,1,True,SEARCHING (2),2,368,320,0.5559,15,MOVE BACKWARD
2026-03-20 02:23:48,2.71,1,False,1,True,SEARCHING (3),3,418,320,0.2648,30,STEER RIGHT
2026-03-20 02:23:49,2.75,0,False,0,False,LOST (4),4,-1,320,0.0000,0,IDLE
2026-03-20 02:23:49,2.72,1,False,1,True,SEARCHING (5),5,319,320,0.9751,0,MOVE BACKWARD
2026-03-20 02:23:50,2.75,2,False,2,True,SEARCHING (6),6,320,320,0.9927,0,MOVE BACKWARD
2026-03-20 02:23:50,2.62,2,False,2,True,SEARCHING (7),7,211,320,0.3214,34,MOVE BACKWARD
2026-03-20 02:23:50,2.65,1,False,1,True,SEARCHING (8),8,568,320,0.2087,77,STEER RIGHT
2026-03-20 02:23:51,2.83,2,False,2,True,SEARCHING (9),9,323,320,0.9709,0,MOVE BACKWARD
2026-03-20 02:23:51,2.91,1,False,1,True,SEARCHING (10),10,332,320,0.9104,3,MOVE BACKWARD
2026-03-20 02:23:52,2.92,1,False,1,True,SEARCHING (11),11,322,320,0.8868,0,MOVE BACKWARD
2026-03-20 02:23:52,2.81,1,False,1,True,SEARCHING (12),12,318,320,0.9762,0,MOVE BACKWARD
2026-03-20 02:23:52,2.80,2,True,1,True,SEARCHING (13),13,-1,320,0.0000,0,AVOID
2026-03-20 02:23:53,2.89,1,False,1,True,SEARCHING (14),14,409,320,0.5713,27,MOVE BACKWARD
2026-03-20 02:23:53,2.82,1,False,1,True,SEARCHING (15),15,447,320,0.4512,39,MOVE BACKWARD
2026-03-20 02:23:53,2.67,1,False,1,True,RE-LOCKED,0,456,320,0.2741,42,STEER RIGHT
2026-03-20 02:23:54,2.80,2,False,2,True,LOCKED,0,459,320,0.2688,43,STEER RIGHT
2026-03-20 02:23:54,2.77,0,False,0,False,LOST (1),1,-1,320,0.0000,0,IDLE
2026-03-20 02:23:55,2.70,0,False,0,False,LOST (2),2,-1,320,0.0000,0,IDLE
2026-03-20 02:23:55,2.79,1,False,1,True,LOCKED,0,433,320,0.3243,35,MOVE BACKWARD
2026-03-20 02:23:55,2.67,1,False,1,True,LOCKED,0,415,320,0.4069,29,MOVE BACKWARD
2026-03-20 02:23:56,2.70,1,False,1,True,LOCKED,0,409,320,0.5902,27,MOVE BACKWARD
