timestamp,fps,object_count,person_detected,obstacle_detected,decision
2026-03-12 01:11:05,2.40,2,True,True,AVOID
2026-03-12 01:11:05,2.33,2,True,True,AVOID
2026-03-12 01:11:05,2.38,2,True,True,AVOID
2026-03-12 01:11:06,2.37,2,True,True,AVOID
2026-03-12 01:11:06,2.49,2,True,True,AVOID
2026-03-12 01:11:07,2.40,2,True,True,AVOID
2026-03-12 01:11:07,2.32,2,True,True,AVOID
2026-03-12 01:11:08,2.40,2,True,True,AVOID
2026-03-12 01:11:08,2.31,2,True,True,AVOID
2026-03-12 01:11:08,2.32,2,True,True,AVOID
2026-03-12 01:11:09,2.38,2,True,True,AVOID
2026-03-12 01:11:09,2.47,2,True,True,AVOID
2026-03-12 01:11:10,2.33,2,True,True,AVOID
