timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections
2026-03-01T14:13:00,2.208,365.022,253.30,246.35,2
2026-03-01T14:13:00,3.318,223.424,327.60,251.61,2
2026-03-01T14:13:01,3.309,228.132,326.80,249.43,1
2026-03-01T14:13:01,3.308,223.742,323.00,252.55,2
2026-03-01T14:13:01,3.330,225.040,328.40,249.93,2
2026-03-01T14:13:02,3.325,222.122,324.60,253.02,2
2026-03-01T14:13:02,3.334,223.503,325.30,249.93,2
2026-03-01T14:13:02,3.301,222.207,325.40,253.02,2
2026-03-01T14:13:03,3.304,224.886,329.10,249.93,2
2026-03-01T14:13:03,3.264,224.290,325.60,253.02,2
2026-03-01T14:13:03,3.310,223.396,326.50,249.94,3
2026-03-01T14:13:03,3.225,227.490,324.70,253.02,4
2026-03-01T14:13:04,3.289,226.724,324.60,249.95,3
2026-03-01T14:13:04,3.294,223.554,324.80,253.03,2
2026-03-01T14:13:04,3.288,224.870,327.80,250.16,2
2026-03-01T14:13:05,3.292,223.078,324.60,253.24,2
2026-03-01T14:13:05,3.269,231.600,326.10,250.16,2
2026-03-01T14:13:05,3.285,226.121,324.20,253.24,1
2026-03-01T14:13:06,3.333,225.749,325.50,250.16,1
2026-03-01T14:13:06,3.272,226.488,329.50,253.24,1
2026-03-01T14:13:06,3.355,221.542,321.10,250.16,1
2026-03-01T14:13:06,3.234,227.195,325.40,253.24,1
2026-03-01T14:13:07,3.258,228.343,324.90,250.16,1
2026-03-01T14:13:07,3.300,226.027,325.70,253.24,2
2026-03-01T14:13:07,3.305,227.351,329.30,250.16,1
2026-03-01T14:13:08,3.301,224.066,319.50,253.24,1
2026-03-01T14:13:08,3.306,225.916,329.70,250.16,1
2026-03-01T14:13:08,3.335,220.171,325.60,253.24,1
2026-03-01T14:13:09,3.329,223.336,325.40,250.16,1
2026-03-01T14:13:09,3.282,223.507,327.00,253.24,1
2026-03-01T14:13:09,3.283,225.207,323.60,250.16,1
2026-03-01T14:13:10,3.302,221.791,325.30,253.24,1
2026-03-01T14:13:10,3.294,228.529,324.90,250.16,1
2026-03-01T14:13:10,3.299,225.561,322.10,253.24,1
2026-03-01T14:13:10,3.328,223.918,328.10,250.16,1
2026-03-01T14:13:11,3.277,223.123,319.90,253.24,1
2026-03-01T14:13:11,3.289,225.160,327.50,250.16,1
2026-03-01T14:13:11,3.270,223.625,325.60,253.24,1
2026-03-01T14:13:12,3.335,226.047,325.40,250.16,1
2026-03-01T14:13:12,3.345,223.365,323.10,253.24,1
2026-03-01T14:13:12,3.354,224.902,330.90,250.16,1
2026-03-01T14:13:13,3.300,220.910,325.50,253.24,1
