timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections
2026-03-01T13:14:44,1.127,667.985,304.20,268.47,0
2026-03-01T13:14:44,1.490,481.817,310.70,279.60,0
2026-03-01T13:14:45,1.498,483.855,314.10,285.17,0
2026-03-01T13:14:46,1.478,506.266,312.90,277.53,0
2026-03-01T13:14:46,1.489,489.721,315.20,284.88,0
2026-03-01T13:14:47,1.462,510.345,318.30,277.82,0
2026-03-01T13:14:48,1.509,482.268,313.40,285.17,0
2026-03-01T13:14:48,1.477,501.178,316.90,277.82,0
2026-03-01T13:14:49,1.475,492.151,312.30,285.17,0
2026-03-01T13:14:50,1.492,492.736,317.30,277.82,0
2026-03-01T13:14:50,1.480,491.381,314.70,285.17,0
2026-03-01T13:14:51,1.446,514.260,311.90,277.82,0
2026-03-01T13:14:52,1.488,486.098,313.60,285.17,0
2026-03-01T13:14:52,1.490,494.836,318.30,277.82,0
2026-03-01T13:14:53,1.470,496.006,312.40,285.17,0
2026-03-01T13:14:54,1.503,488.477,318.00,277.82,0
2026-03-01T13:14:54,1.486,487.010,314.50,285.17,0
2026-03-01T13:14:55,1.465,503.113,317.60,277.82,0
2026-03-01T13:14:56,1.469,493.969,315.40,285.17,0
2026-03-01T13:14:57,1.497,489.597,318.40,277.82,0
2026-03-01T13:14:57,1.456,501.285,315.60,285.17,0
2026-03-01T13:14:58,1.472,499.840,319.00,277.82,0
2026-03-01T13:14:59,1.501,480.266,316.10,285.17,0
2026-03-01T13:14:59,1.479,501.400,317.50,277.82,0
2026-03-01T13:15:00,1.469,496.499,313.90,285.17,0
2026-03-01T13:15:01,1.481,501.299,319.50,277.82,0
2026-03-01T13:15:01,1.482,492.406,315.00,285.17,0
2026-03-01T13:15:02,1.453,506.872,313.50,277.82,0
2026-03-01T13:15:03,1.510,477.361,315.20,285.17,0
2026-03-01T13:15:03,1.496,494.672,316.80,277.83,1
2026-03-01T13:15:04,1.500,484.969,314.50,285.18,2
2026-03-01T13:15:05,1.482,500.157,319.60,277.83,2
2026-03-01T13:15:05,1.482,490.498,315.30,285.18,2
2026-03-01T13:15:06,1.492,492.279,315.80,277.83,1
2026-03-01T13:15:07,1.490,491.972,315.40,285.18,0
2026-03-01T13:15:07,1.488,495.363,319.50,277.84,0
2026-03-01T13:15:08,1.479,493.335,316.00,285.18,0
2026-03-01T13:15:09,1.488,494.121,316.50,277.84,0
2026-03-01T13:15:09,1.505,481.587,312.60,285.18,0
2026-03-01T13:15:10,1.481,502.724,317.90,277.84,0
2026-03-01T13:15:11,1.500,480.999,314.50,285.18,0
2026-03-01T13:15:11,1.498,488.104,317.10,277.84,0
2026-03-01T13:15:12,1.479,493.520,317.60,285.18,0
2026-03-01T13:15:13,1.474,500.197,318.10,277.84,0
2026-03-01T13:15:13,1.461,502.596,313.70,285.18,0
