timestamp,fps,detection_count,person_detected,obstacle_detected,decision
2026-03-10 11:16:47,2.88,2,True,True,AVOID
2026-03-10 11:16:47,2.59,2,True,True,AVOID
2026-03-10 11:16:48,2.66,2,True,True,AVOID
2026-03-10 11:16:48,2.78,2,True,True,AVOID
2026-03-10 11:16:49,2.56,2,True,True,AVOID
2026-03-10 11:16:49,2.71,2,True,True,AVOID
2026-03-10 11:16:49,3.11,2,True,True,AVOID
2026-03-10 11:16:50,2.96,2,True,True,AVOID
2026-03-10 11:16:50,2.86,2,True,True,AVOID
2026-03-10 11:16:51,2.58,2,True,True,AVOID
2026-03-10 11:16:51,2.68,2,True,True,AVOID
2026-03-10 11:16:51,2.81,2,True,True,AVOID
2026-03-10 11:16:52,3.01,3,True,True,AVOID
2026-03-10 11:16:52,3.07,1,False,True,AVOID
2026-03-10 11:16:52,2.68,1,False,True,AVOID
2026-03-10 11:16:53,2.89,1,False,False,IDLE
2026-03-10 11:16:53,2.61,1,True,False,FOLLOW
2026-03-10 11:16:54,2.71,0,False,False,IDLE
2026-03-10 11:16:54,2.69,1,True,False,FOLLOW
2026-03-10 11:16:54,2.48,2,True,False,FOLLOW
2026-03-10 11:16:55,2.56,1,True,False,FOLLOW
2026-03-10 11:16:55,3.09,1,True,False,FOLLOW
2026-03-10 11:16:56,3.03,1,True,False,FOLLOW
2026-03-10 11:16:56,2.57,1,True,False,FOLLOW
2026-03-10 11:16:56,3.01,1,True,False,FOLLOW
2026-03-10 11:16:57,2.87,1,True,False,FOLLOW
2026-03-10 11:16:57,3.13,1,True,False,FOLLOW
2026-03-10 11:16:57,2.64,1,True,False,FOLLOW
2026-03-10 11:16:58,2.73,1,True,False,FOLLOW
2026-03-10 11:16:58,3.16,1,True,False,FOLLOW
2026-03-10 11:16:59,2.59,1,True,False,FOLLOW
2026-03-10 11:16:59,2.74,1,True,False,FOLLOW
2026-03-10 11:16:59,2.82,1,True,False,FOLLOW
2026-03-10 11:17:00,3.02,1,True,False,FOLLOW
2026-03-10 11:17:00,2.72,1,True,False,FOLLOW
2026-03-10 11:17:00,2.73,1,True,False,FOLLOW
2026-03-10 11:17:01,2.76,1,True,False,FOLLOW
2026-03-10 11:17:01,3.11,0,False,False,IDLE
2026-03-10 11:17:02,2.80,0,False,False,IDLE
2026-03-10 11:17:02,3.08,0,False,False,IDLE
2026-03-10 11:17:02,3.02,0,False,False,IDLE
2026-03-10 11:17:03,2.51,0,False,False,IDLE
2026-03-10 11:17:03,3.04,0,False,False,IDLE
